id,district,no_of_ga_pa,ecology,region,zone,state
1,ACHHAM,11,Hills Zone,FarWestern,Seti,7
2,ARGHAKHANCHI,6,Hills Zone,Western,Lumbini,5
3,BAGLUNG,11,Hills Zone,Western,Dhawalagiri,4
4,BAITADI,10,Hills Zone,FarWestern,Mahakali,7
5,BAJHANG,13,Mountains Zone,FarWestern,Seti,7
6,BAJURA,10,Mountains Zone,FarWestern,Seti,7
7,BANKE,8,Terai Zone,MidWestern,Bheri,5
8,BARA,16,Terai Zone,Central,Narayani,2
9,BARDIYA,10,Terai Zone,MidWestern,Bheri,5
10,BHAKTAPUR,4,Hills Zone,Central,Bagamati,3
11,BHOJPUR,9,Hills Zone,Eastern,Koshi,1
12,CHITAWAN,8,Terai Zone,Central,Narayani,3
13,DADELDHURA,7,Hills Zone,FarWestern,Mahakali,7
14,DAILEKH,11,Hills Zone,MidWestern,Bheri,6
15,DANG,10,Terai Zone,MidWestern,Rapti,5
16,DARCHULA,9,Mountains Zone,FarWestern,Mahakali,7
17,DHADING,13,Hills Zone,Central,Bagamati,3
18,DHANKUTA,7,Hills Zone,Eastern,Koshi,1
19,DHANUSHA,18,Terai Zone,Central,Janakpur,2
20,DOLAKHA,9,Mountains Zone,Central,Janakpur,3
21,DOLPA,8,Mountains Zone,MidWestern,Karnali,6
22,DOTI,10,Hills Zone,FarWestern,Seti,7
23,GORKHA,11,Hills Zone,Western,Gandaki,4
24,GULMI,12,Hills Zone,Western,Lumbini,5
25,HUMLA,7,Mountains Zone,MidWestern,Karnali,6
26,ILAM,10,Hills Zone,Eastern,Mechi,1
27,JAJARKOT,7,Hills Zone,MidWestern,Bheri,6
28,JHAPA,15,Terai Zone,Eastern,Mechi,1
29,JUMLA,8,Mountains Zone,MidWestern,Karnali,6
30,KABHREPALANCHOK,13,Hills Zone,Central,Bagamati,3
31,KAILALI,13,Terai Zone,FarWestern,Seti,7
32,KALIKOT,9,Mountains Zone,MidWestern,Karnali,6
33,KANCHANPUR,10,Terai Zone,FarWestern,Mahakali,7
34,KAPILBASTU,10,Terai Zone,Western,Lumbini,5
35,KASKI,5,Hills Zone,Western,Gandaki,4
36,KATHMANDU,11,Hills Zone,Central,Bagamati,3
37,KHOTANG,10,Hills Zone,Eastern,Sagarmatha,1
38,LALITPUR,6,Hills Zone,Central,Bagamati,3
39,LAMJUNG,8,Hills Zone,Western,Gandaki,4
40,MAHOTTARI,15,Terai Zone,Central,Janakpur,2
41,MAKAWANPUR,12,Hills Zone,Central,Narayani,3
42,MANANG,4,Mountains Zone,Western,Gandaki,4
43,MORANG,17,Terai Zone,Eastern,Koshi,1
44,MUGU,4,Mountains Zone,MidWestern,Karnali,6
45,MUSTANG,5,Mountains Zone,Western,Dhawalagiri,4
46,MYAGDI,7,Hills Zone,Western,Dhawalagiri,4
47,NAWALPARASI_E,9,Terai Zone,Western,Lumbini,4
48,NAWALPARASI_W,7,Terai Zone,Western,Lumbini,5
49,NUWAKOT,14,Hills Zone,Central,Bagamati,3
50,OKHALDHUNGA,8,Hills Zone,Eastern,Sagarmatha,1
51,PALPA,10,Hills Zone,Western,Lumbini,5
52,PANCHTHAR,8,Hills Zone,Eastern,Mechi,1
53,PARBAT,7,Hills Zone,Western,Dhawalagiri,4
54,PARSA,16,Terai Zone,Central,Narayani,2
55,PYUTHAN,9,Hills Zone,MidWestern,Rapti,5
56,RAMECHHAP,8,Hills Zone,Central,Janakpur,3
57,RASUWA,5,Mountains Zone,Central,Bagamati,3
58,RAUTAHAT,18,Terai Zone,Central,Narayani,2
59,ROLPA,10,Hills Zone,MidWestern,Rapti,5
60,RUKUM_E,4,Hills Zone,MidWestern,Rapti,5
61,RUKUM_W,6,Hills Zone,MidWestern,Rapti,6
62,RUPANDEHI,17,Terai Zone,Western,Lumbini,5
63,SALYAN,10,Hills Zone,MidWestern,Rapti,6
64,SANKHUWASABHA,10,Mountains Zone,Eastern,Koshi,1
65,SAPTARI,19,Terai Zone,Eastern,Sagarmatha,2
66,SARLAHI,20,Terai Zone,Central,Janakpur,2
67,SINDHULI,9,Hills Zone,Central,Janakpur,3
68,SINDHUPALCHOK,12,Mountains Zone,Central,Bagamati,3
69,SIRAHA,17,Terai Zone,Eastern,Sagarmatha,2
70,SOLUKHUMBU,8,Mountains Zone,Eastern,Sagarmatha,1
71,SUNSARI,13,Terai Zone,Eastern,Koshi,1
72,SURKHET,9,Hills Zone,MidWestern,Bheri,6
73,SYANGJA,11,Hills Zone,Western,Gandaki,4
74,TANAHU,10,Hills Zone,Western,Gandaki,4
75,TAPLEJUNG,9,Mountains Zone,Eastern,Mechi,1
76,TERHATHUM,6,Hills Zone,Eastern,Koshi,1
77,UDAYAPUR,9,Hills Zone,Eastern,Sagarmatha,1
